video_id,success,fetched_count,expected_count
4x_bVKIfZ30,False,0,16
M6bj0cYTtEU,False,0,15
17tH3j83-kY,False,0,17
18tNwPPZmZI,False,0,11
51fTmZBnkLk,False,0,10
Rf5zCELTTmg,False,0,222
_HQrlDttgFs,False,0,8
OGMJ6jyT-Y0,True,0,0
-9zyRlcZyRM,True,0,0
1cNiEhT2Xnk,True,0,0
Ohg1ojbpnVk,True,0,0
DaCswtU7p6k,False,0,2
yb-ffTyUvnM,False,0,2
BLycgBBVbZY,False,0,85
L9vjNoAtfGU,False,0,8
xdLRJ5u_qz8,True,0,0
xB_apoAprbg,True,0,0
ey8i-DEBz6k,False,0,24
ioU-4d1Q3tI,True,0,0
t5jYuHESjY4,False,0,4
RP49kQGLEvI,True,0,0
ybU-xn-c0wM,False,0,9
F3SewE0AAMM,False,0,12
HFiCbni7l88,True,0,0
hnyP1SEw4M8,False,0,2
d3xaJcY1dbQ,False,0,7
hHBFeCphFzc,True,0,0
H4iIj8g8Dxc,False,0,6
vzU0unyj1Ho,True,0,0
hATy1BAyvNk,True,0,0
xAnrsHB0-t0,True,0,0
ui-dkfZUKfI,True,0,0
3OmEAuE6Jvk,True,0,0
CAv2G7cb1WE,True,0,0
XL70YTgGUX0,True,0,0
gGD_4ZanJpA,True,0,0
T7U6NF7jAh0,True,0,0
2h2WjMVE_0I,True,0,0
MXwEKmpwTk4,True,0,0
SG720FFwYHU,True,0,0
ibqz68JDe94,True,0,0
Rse4BbU7O2M,True,0,0
doCP9W84J7Y,True,0,0
Ag0L1K377P8,True,394,394
YQJsJcIaLKA,True,0,0
cYobjXdT0_U,True,26,26
7DIo8Ls6dsE,True,35,35
kM1FkEUzcBs,True,15,15
UoZWNqngs60,True,456,455
sGNcPF4K3YQ,True,2,2
O-f7g92VnZQ,True,0,0
XR84nUzcwLY,True,1,1
PIuiSwH8r3g,True,58,58
h95cIqwKf5s,True,55,55
OlwqTcQElPA,True,82,82
gYFIinmTCmc,True,0,0
VLfgl3QNoU0,True,0,0
EZp8UPWTSkM,True,10,10
biEH72C8wbU,True,0,0
Q7hL15rHDcA,True,15,15
ORpcGWxZE50,True,0,0
V9Fpe2Tf5K8,True,0,0
-gnJtBGv_Bo,True,0,0
tRAlz3UaLtY,True,2,2
uzpwHJFv8ao,True,1,1
cOJm7qZYiCo,True,55,55
ZCEqPjEXtPI,True,11,11
hBWc46SUuEw,True,5,5
dWD0zJRrF7U,True,14,14
YpkOf1UFaZY,True,631,631
M2BYPTyOAKY,True,148,148
wSgRDfKI6II,True,20,20
G4CGMA9NEXs,True,0,0
F9L1cpa4j9c,True,0,0
cZA5s5pl9Tc,True,35,35
s60-v2pwhM0,True,8,8
k0r8N7ztF58,True,7,7
epVcD-iAj-E,True,1,1
20xLgd6SgmQ,True,7,7
s-YTe9IT9XY,True,40,40
St9kbieUvPE,True,2,2
DXaZjBbmDX8,True,5,5
C7DIwu1OgsY,True,0,0
BmbIXSpb5Fw,True,77,77
qzUOKn61Nk4,True,0,0
aIgcm5FXpHw,True,0,0
N0B40zge0YM,True,2,2
UNMoXQZ6e-8,True,4,4
QCUWjWB0gmU,True,0,0
NmBp5ENUglk,True,1,1
a7vLnjnHwqI,True,32,32
As1SCGNXFZ8,True,0,0
-Qco8IMrNpM,True,0,0
gkktMCqg9RM,True,6,6
GiNSG3BnIXA,True,0,0
751BZMttxuo,True,0,0
dIPHbOw4buk,True,0,0
5TS9YdZ5Db0,True,0,0
uCRHhyXVC6g,True,0,0
dir9jBdNmR8,True,0,0
Ny7ySSiQll4,True,0,0
449bQEgFwoU,True,0,0
oIVAl-Xw68k,True,0,0
0uGv3yfc0zw,True,0,0
sF-yjJmZvTI,True,0,0
hJFKcFbsONg,True,0,0
x5kPgmohIlM,True,0,0
UTqQfjx1ZzA,True,0,0
yA-L-7ygg10,True,1,1
H8YdTEEarj8,True,0,0
ccsJbF4rWTE,True,0,0
eyHXkw9qMBc,True,1,1
ypaAJQZoltM,True,0,0
UJB1luDauxA,True,0,0
3ipy6WMILsU,True,0,0
jre-lx2NWj8,True,0,0
e1svFjDBD7M,True,0,0
sqRpAFgokL0,True,0,0
DKZhJWk8kg8,True,0,0
bmoPLL_nvb8,True,1,1
K9GKUMU6Un4,True,38,38
5nfYrgGAvlI,True,2,2
WVxJQcLUD10,True,0,0
Ldm4rFtJp5Q,True,0,0
WWgnphCV6Cw,True,0,0
wGa7-ZT2gX8,True,0,0
OiooEGlMkLg,True,0,0
PzalxBXqwIg,True,0,0
Eyf0eUzor7s,True,7,7
gnvWxMH8xxQ,True,5,5
sIGwO2Z0rEk,True,0,0
g2idid7asew,True,0,0
J-QYSO5AphA,True,0,0
nrMRAK9TCV8,True,1,1
_xeB2QctCMo,True,0,0
_QWDSt_tmO4,True,0,0
xSox-U8I9GM,True,160,160
5eSsYpLvl_U,True,0,0
ANVUCgw6f-A,True,0,0
vpzGEMIy8hw,True,6,6
v7xyAL93rdw,True,23,23
R-J5pS2e4SA,True,0,0
2nmi7omW0Sk,True,1,1
DRgXcAHNTvs,True,23,23
ej_eSudmwS0,True,0,0
MWihFO05zzY,True,0,0
arWaMEcSCuo,True,40,40
9hCVnp1WaMQ,True,2,2
gPYYGFc6snE,True,17,17
1AofNYFVVtI,True,0,0
sZm7IU-R0oc,True,10,10
jehKn6bX9N0,True,2,2
ch5pLEELwWM,True,1,1
7W_QGyzOsEc,True,3,3
Nf_BWA8kHyY,True,0,0
rscI2rZCavw,True,117,117
tuYd84uSxWE,True,107,107
lvesmeDyaFo,True,0,0
tQtjK85fTJc,True,8,8
uhYpGN8EL44,True,0,0
dFKC1AtIWlY,True,2,2
Y83KVHxPqfA,True,0,0
R1fX1XJZAG8,True,6,6
XWJHpLxEFZw,True,44,44
tz0K2accrcU,True,0,0
YI2LkJHLwHM,True,3,3
eecEuubOOyM,True,1188,1188
vH_8pGcYwQg,True,0,0
